operation,datastructure,listSize,seed,iteration,runcount,totaltime,avgtime
EN,array,50,69,52,5,0.524772,0.1049544
EN,array,50,69,53,5,0.4983353,0.09966706
EN,array,50,69,54,5,0.49947349999999996,0.09989469999999999
EN,array,50,69,55,5,0.489623,0.0979246
EN,array,50,69,56,5,0.5247143,0.10494286
EN,array,50,69,57,5,0.5167589,0.10335178
EN,array,50,69,58,5,0.5734765000000001,0.11469530000000001
EN,array,50,69,59,5,0.5083167000000001,0.10166334000000002
EN,array,50,69,60,5,0.5135672,0.10271344
EN,array,50,69,61,5,0.5206437,0.10412874000000001
EN,array,50,69,62,5,0.5059963000000001,0.10119926000000001
EN,array,50,69,63,5,0.5157969,0.10315938
EN,array,50,69,64,5,0.516089,0.1032178
EN,array,50,69,65,5,0.500261,0.1000522
EN,array,50,69,66,5,0.5101094,0.10202188000000001
EN,array,50,69,67,5,0.5070507,0.10141014
EN,array,50,69,68,5,0.5152173,0.10304346
EN,array,50,69,69,5,0.531543,0.1063086
EN,array,50,69,70,5,0.5255699,0.10511398000000001
EN,array,50,69,71,5,0.5343180999999999,0.10686361999999998
EN,array,50,69,72,5,0.5439642,0.10879284
EN,array,50,69,73,5,0.5466914,0.10933828000000001
EN,array,50,69,74,5,0.5385384,0.10770768
EN,array,50,69,75,5,0.51332,0.102664
EN,array,50,69,76,5,0.5421731999999999,0.10843463999999998
EN,array,50,69,77,5,0.5418209,0.10836418
EN,array,50,69,78,5,0.5294604,0.10589208000000001
EN,array,50,69,79,5,0.5424031,0.10848062
EN,array,50,69,80,5,0.5292321,0.10584642
EN,array,50,69,81,5,0.5278080999999999,0.10556161999999998
EN,array,50,69,82,5,0.5436618,0.10873236
EN,array,50,69,83,5,0.5370647,0.10741293999999998
EN,array,50,69,84,5,0.5321601,0.10643202
EN,array,50,69,85,5,0.5596211,0.11192421999999999
EN,array,50,69,86,5,0.5505343,0.11010686
EN,array,50,69,87,5,0.5366416,0.10732832
EN,array,50,69,88,5,0.5339978000000001,0.10679956000000002
EN,array,50,69,89,5,0.5379888,0.10759776000000001
EN,array,50,69,90,5,0.5320493000000001,0.10640986000000001
EN,array,50,69,91,5,0.5438828,0.10877656
EN,array,50,69,92,5,0.5373526,0.10747051999999999
EN,array,50,69,93,5,0.52832,0.10566400000000001
EN,array,50,69,94,5,0.5219823,0.10439646
EN,array,50,69,95,5,0.5389675,0.10779350000000001
EN,array,50,69,96,5,0.5357407,0.10714813999999999
EN,array,50,69,97,5,0.5252371,0.10504742
EN,array,50,69,98,5,0.5309825,0.1061965
EN,array,50,69,99,5,0.5296826,0.10593652
EN,array,50,69,100,5,0.5517839,0.11035678
EN,array,50,69,101,5,0.5549901,0.11099802
EN,array,50,69,102,5,0.5441611,0.10883222
EN,array,50,69,103,5,0.5367166,0.10734331999999999
EN,array,50,69,104,5,0.5392689,0.10785378000000001
EN,array,50,69,105,5,0.522285,0.104457
EN,array,50,69,106,5,0.5332428,0.10664856
EN,array,50,69,107,5,0.5512057,0.11024114
EN,array,50,69,108,5,0.5302104,0.10604208
EN,array,50,69,109,5,0.5250408,0.10500815999999999
EN,array,50,69,110,5,0.5284774,0.10569548
EN,array,50,69,111,5,0.5333913,0.10667826
EN,array,50,69,112,5,0.5455469000000001,0.10910938
EN,array,50,69,113,5,0.5301733,0.10603465999999999
EN,array,50,69,114,5,0.5350682,0.10701364
EN,array,50,69,115,5,0.5394230999999999,0.10788461999999999
EN,array,50,69,116,5,0.5211091,0.10422181999999999
EN,array,50,69,117,5,0.5330012999999999,0.10660025999999997
EN,array,50,69,118,5,0.5533529,0.11067058
EN,array,50,69,119,5,0.5361586,0.10723172
EN,array,50,69,120,5,0.5437049,0.10874098000000001
EN,array,50,69,121,5,0.5467614,0.10935228
EN,array,50,69,122,5,0.5389394,0.10778787999999999
EN,array,50,69,123,5,0.5432069,0.10864138000000001
EN,array,50,69,124,5,0.5478663,0.10957326
EN,array,50,69,125,5,0.5303557999999999,0.10607115999999998
EN,array,50,69,126,5,0.5336536,0.10673071999999999
EN,array,50,69,127,5,0.5248775,0.1049755
EN,array,50,69,128,5,0.5243995,0.1048799
EN,array,50,69,129,5,0.6171561,0.12343122
EN,array,50,69,130,5,0.5314282,0.10628564
EN,array,50,69,131,5,0.5316749,0.10633498
EN,array,50,69,132,5,0.5262153,0.10524306000000001
EN,array,50,69,133,5,0.5191351000000001,0.10382702000000002
EN,array,50,69,134,5,0.526026,0.1052052
EN,array,50,69,135,5,0.5076365,0.10152730000000001
EN,array,50,69,136,5,0.5033648000000001,0.10067296
EN,array,50,69,137,5,0.514159,0.1028318
EN,array,50,69,138,5,0.5167453,0.10334905999999999
EN,array,50,69,139,5,0.503795,0.100759
EN,array,50,69,140,5,0.5195571,0.10391142
EN,array,50,69,141,5,0.5325815,0.10651630000000001
EN,array,50,69,142,5,0.5126396,0.10252792
EN,array,50,69,143,5,0.5113304999999999,0.10226609999999998
EN,array,50,69,144,5,0.5161198,0.10322396
EN,array,50,69,145,5,0.5054145,0.1010829
EN,array,50,69,146,5,0.5099985,0.1019997
EN,array,50,69,147,5,0.5101133,0.10202266
EN,array,50,69,148,5,0.5073241,0.10146481999999998
EN,array,50,69,149,5,0.515773,0.10315460000000001
EN,array,50,69,150,5,0.5099667,0.10199334
EN,array,50,69,151,5,0.5098297,0.10196594
EN,array,50,69,152,5,0.5200698,0.10401396
EN,array,50,69,153,5,0.5393456000000001,0.10786912000000001
EN,array,50,69,154,5,0.5432521,0.10865042
EN,array,50,69,155,5,0.5257186,0.10514372000000001
EN,array,50,69,156,5,0.5466850999999999,0.10933701999999998
EN,array,50,69,157,5,0.5296730000000001,0.10593460000000002
EN,array,50,69,158,5,0.5389945,0.1077989
EN,array,50,69,159,5,0.5194996,0.10389991999999999
EN,array,50,69,160,5,0.5174878,0.10349756000000002
EN,array,50,69,161,5,0.5142459,0.10284918000000001
EN,array,50,69,162,5,0.5130226,0.10260452
EN,array,50,69,163,5,0.5180140999999999,0.10360281999999998
EN,array,50,69,164,5,0.5197913999999999,0.10395827999999999
EN,array,50,69,165,5,0.5089686,0.10179372
EN,array,50,69,166,5,0.5321612,0.10643224
EN,array,50,69,167,5,0.6398914,0.12797828
EN,array,50,69,168,5,0.5235265,0.1047053
EN,array,50,69,169,5,0.5171233000000001,0.10342466000000002
EN,array,50,69,170,5,0.509713,0.1019426
EN,array,50,69,171,5,0.5159564,0.10319128
EN,array,50,69,172,5,0.5202981,0.10405961999999999
EN,array,50,69,173,5,0.523074,0.10461480000000001
EN,array,50,69,174,5,0.5168224,0.10336448000000001
EN,array,50,69,175,5,0.5284386,0.10568772
EN,array,50,69,176,5,0.5315626,0.10631252
EN,array,50,69,177,5,0.5254078,0.10508155999999999
EN,array,50,69,178,5,0.5343303,0.10686606000000001
EN,array,50,69,179,5,0.5253917,0.10507834
EN,array,50,69,180,5,0.5224976,0.10449952
EN,array,50,69,181,5,0.5446496,0.10892991999999999
EN,array,50,69,182,5,0.5325567,0.10651134
EN,array,50,69,183,5,0.5307779,0.10615558
EN,array,50,69,184,5,0.5142612,0.10285224
EN,array,50,69,185,5,0.5242616,0.10485232
EN,array,50,69,186,5,0.5143252,0.10286504
EN,array,50,69,187,5,0.5031509000000001,0.10063018000000001
EN,array,50,69,188,5,0.5265019,0.10530038
EN,array,50,69,189,5,0.5218074,0.10436148
EN,array,50,69,190,5,0.5521134,0.11042268
EN,array,50,69,191,5,0.5172949,0.10345898
EN,array,50,69,192,5,0.5283161,0.10566321999999999
EN,array,50,69,193,5,0.5400387999999999,0.10800775999999998
EN,array,50,69,194,5,0.5276502000000001,0.10553004000000002
EN,array,50,69,195,5,0.532205,0.10644100000000001
EN,array,50,69,196,5,0.5385245000000001,0.10770490000000002
EN,array,50,69,197,5,0.5311331,0.10622662000000001
EN,array,50,69,198,5,0.5269214,0.10538428
EN,array,50,69,199,5,0.5280452,0.10560904
DE,tree,100,420,0,5,0.5724561,0.11449122
DE,tree,100,420,1,5,0.5212912999999999,0.10425825999999998
DE,tree,100,420,2,5,0.5426540000000001,0.10853080000000001
DE,tree,100,420,3,5,0.5290459,0.10580917999999999
DE,tree,100,420,4,5,0.5418185,0.1083637
DE,tree,100,420,5,5,0.5511775,0.1102355
DE,tree,100,420,6,5,0.5325708,0.10651416
DE,tree,100,420,7,5,0.5667812999999999,0.11335625999999999
DE,tree,100,420,8,5,0.5204794,0.10409588
DE,tree,100,420,9,5,0.5323009,0.10646017999999999
DE,tree,100,420,10,5,0.5177042,0.10354084
DE,tree,100,420,11,5,0.5237629,0.10475258000000001
DE,tree,100,420,12,5,0.5312344,0.10624688
DE,tree,100,420,13,5,0.5198061,0.10396122000000001
DE,tree,100,420,14,5,0.5203662,0.10407324
DE,tree,100,420,15,5,0.518103,0.1036206
DE,tree,100,420,16,5,0.5407513,0.10815026000000001
DE,tree,100,420,17,5,0.5309762,0.10619524
DE,tree,100,420,18,5,0.5303418,0.10606836
DE,tree,100,420,19,5,0.5332809,0.10665617999999999
DE,tree,100,420,20,5,0.5520706000000001,0.11041412000000002
DE,tree,100,420,21,5,0.5316926,0.10633851999999999
DE,tree,100,420,22,5,0.5383158,0.10766316000000001
DE,tree,100,420,23,5,0.5411076,0.10822152
DE,tree,100,420,24,5,0.5576681,0.11153362
DE,tree,100,420,25,5,0.556695,0.11133900000000001
DE,tree,100,420,26,5,0.5564153,0.11128305999999999
DE,tree,100,420,27,5,0.5307597,0.10615193999999999
DE,tree,100,420,28,5,0.546444,0.1092888
DE,tree,100,420,29,5,0.5376966,0.10753932
DE,tree,100,420,30,5,0.5480008000000001,0.10960016000000002
DE,tree,100,420,31,5,0.5562017,0.11124034000000001
DE,tree,100,420,32,5,0.5249792,0.10499584
DE,tree,100,420,33,5,0.536313,0.10726260000000001
DE,tree,100,420,34,5,0.5257523000000001,0.10515046000000002
DE,tree,100,420,35,5,0.5555363,0.11110726
DE,tree,100,420,36,5,0.5435514,0.10871028
DE,tree,100,420,37,5,0.5429919000000001,0.10859838000000002
DE,tree,100,420,38,5,0.5542478000000001,0.11084956000000001
DE,tree,100,420,39,5,0.5569923999999999,0.11139848
DE,tree,100,420,40,5,0.554721,0.1109442
DE,tree,100,420,41,5,0.5374006,0.10748012
DE,tree,100,420,42,5,0.5403741,0.10807481999999999
DE,tree,100,420,43,5,0.5773476,0.11546951999999999
DE,tree,100,420,44,5,0.5557187,0.11114374
DE,tree,100,420,45,5,0.5518137,0.11036273999999999
DE,tree,100,420,46,5,0.5550743,0.11101486
DE,tree,100,420,47,5,0.5663238,0.11326476
DE,tree,100,420,48,5,0.5647578,0.11295155999999999
DE,tree,100,420,49,5,0.5585934,0.11171868
DE,tree,100,420,50,5,0.5498654,0.10997307999999999
DE,tree,100,420,51,5,0.5537643999999999,0.11075287999999998
DE,tree,100,420,52,5,0.5538414,0.11076828000000001
DE,tree,100,420,53,5,0.5658311,0.11316622000000001
DE,tree,100,420,54,5,0.5697667,0.11395333999999999
DE,tree,100,420,55,5,0.5732295000000001,0.11464590000000001
DE,tree,100,420,56,5,0.5573201,0.11146402
DE,tree,100,420,57,5,0.5617230000000001,0.11234460000000002
DE,tree,100,420,58,5,0.547823,0.10956459999999998
DE,tree,100,420,59,5,0.5772446,0.11544892
DE,tree,100,420,60,5,0.5867768,0.11735535999999999
DE,tree,100,420,61,5,0.5742286,0.11484572
DE,tree,100,420,62,5,0.5873168,0.11746335999999999
DE,tree,100,420,63,5,0.5727127,0.11454254
